customer_id,region,plan,tenure_months,tickets_90d,usage_score,late_payments,label
C00054,east,basic,72,0,70.46,0,0
C00055,west,pro,31,0,66.07,0,0
C00056,east,pro,38,0,84.16,1,0
C00057,north,pro,51,1,70.8,0,0
C00058,east,pro,10,0,69.09,1,0
C00059,east,premium,68,1,30.35,1,0
C00060,east,basic,31,0,48.17,1,0
C00061,east,premium,44,4,97.52,1,0
C00062,north,basic,53,3,92.53,0,0
C00063,south,pro,58,3,64.2,0,0
C00064,west,pro,52,0,52.76,0,0
C00065,south,pro,19,3,96.65,0,1
C00066,north,pro,4,0,46.56,1,1
C00067,south,pro,36,3,77.48,0,0
C00068,north,premium,40,0,71.66,0,0
C00069,west,pro,48,1,100.0,0,0
C00070,west,basic,64,1,57.05,1,0
C00071,north,pro,40,0,24.68,0,0
C00072,west,basic,32,2,58.12,2,1
C00073,west,premium,51,2,54.97,0,0
C00074,south,pro,24,2,74.99,0,0
C00075,south,pro,3,0,94.83,0,0
C00076,south,basic,51,4,57.83,0,1
C00077,west,pro,41,6,32.6,1,1
C00078,east,basic,48,0,46.12,0,0
C00079,east,pro,8,1,74.72,0,0
C00080,north,pro,40,0,57.36,1,0
C00081,west,pro,18,0,91.65,0,0
C00082,north,pro,14,1,47.03,0,1
C00083,west,basic,44,0,81.52,2,1
C00084,north,pro,70,1,70.23,1,0
C00085,north,basic,61,0,59.32,2,0
C00086,north,basic,62,0,39.18,1,0
C00087,south,basic,10,1,77.16,0,0
C00088,north,basic,5,3,58.61,0,1
C00089,south,premium,71,1,77.03,0,0
C00090,west,premium,6,2,66.62,1,1
C00091,north,basic,38,1,66.05,1,0
C00092,south,basic,48,1,39.39,0,1
C00093,north,pro,47,0,61.6,0,0
C00094,north,basic,13,1,83.95,0,0
C00095,north,pro,69,3,54.57,0,0
C00096,south,basic,5,0,62.43,0,0
C00097,south,basic,2,1,44.42,1,1
C00098,south,premium,7,1,64.57,0,0
C00099,north,premium,55,2,48.29,0,0
C00100,north,basic,6,0,89.25,2,1
C00101,north,pro,61,1,86.81,0,0
C00102,north,basic,2,1,45.99,2,1
C00103,east,pro,34,0,73.29,2,1
C00104,east,pro,56,2,100.0,2,0
C00105,south,pro,22,0,57.09,0,0
C00106,north,basic,14,1,75.2,0,0
C00107,north,pro,22,0,30.84,0,1
C00108,east,basic,1,0,43.28,0,1
C00109,south,premium,37,1,86.51,0,0
C00110,north,premium,69,1,93.49,0,0
C00111,north,basic,3,1,45.83,0,1
C00112,west,basic,53,1,45.56,0,0
C00113,west,pro,41,2,76.32,0,0
C00114,west,basic,6,0,39.67,0,0
C00115,east,pro,59,0,58.57,0,0
C00116,south,basic,14,1,51.57,0,1
C00117,south,pro,15,1,53.89,0,0
C00118,west,premium,29,0,75.09,1,0
C00119,east,basic,69,0,46.06,0,0
C00120,north,basic,34,0,78.05,0,0
C00121,north,basic,29,1,33.01,2,1
C00122,west,pro,6,5,93.12,3,1
C00123,west,basic,16,2,77.05,0,0
C00124,east,basic,29,0,74.83,2,1
C00125,south,premium,34,1,55.72,0,0
C00126,east,premium,3,3,64.65,1,1
C00127,west,basic,25,2,49.25,2,1
C00128,south,basic,43,0,63.1,0,0
C00129,north,basic,15,0,60.74,0,0
C00130,east,premium,12,1,43.53,0,0
C00131,north,pro,22,0,61.69,0,0
C00132,east,pro,66,2,77.56,0,0
C00133,north,pro,28,0,78.83,1,0
C00134,north,premium,59,0,94.01,0,0
C00135,north,basic,29,0,50.49,0,1
C00136,west,basic,47,0,40.52,0,0
C00137,south,basic,44,0,85.88,0,0
C00138,west,pro,68,0,30.25,2,0
C00139,north,pro,1,0,73.48,0,0
C00140,east,pro,58,1,85.5,3,1
C00141,west,premium,26,4,94.17,0,0
C00142,west,premium,61,2,83.62,0,0
C00143,west,pro,68,1,43.09,0,0
C00144,west,pro,67,3,85.49,2,0
C00145,north,basic,69,1,65.82,0,0
C00146,north,basic,50,0,34.56,0,0
C00147,east,pro,19,0,51.79,1,1
C00148,north,premium,5,1,54.57,0,1
C00149,north,basic,66,3,75.35,0,0
C00150,east,premium,16,0,41.51,0,0
C00151,north,pro,54,1,56.62,0,0
C00152,south,basic,28,2,92.51,1,1
C00153,south,basic,52,2,66.72,1,1
C00154,east,pro,9,1,31.5,0,1
C00155,south,pro,41,0,25.91,0,0
C00156,east,premium,65,1,80.12,1,0
C00157,east,basic,70,0,53.99,0,0
C00158,north,basic,8,2,22.23,0,1
C00159,south,basic,16,0,63.69,1,1
C00160,west,basic,35,0,76.96,0,0
C00161,north,basic,21,0,40.2,1,1
C00162,west,pro,13,0,47.69,0,0
C00163,north,basic,27,1,71.45,0,0
C00164,east,pro,39,0,69.95,0,0
C00165,east,premium,41,7,54.38,2,1
C00166,east,basic,59,1,58.33,0,0
C00167,west,basic,55,1,74.0,0,0
C00168,west,basic,7,3,51.06,2,1
C00169,south,pro,21,1,64.26,0,0
C00170,north,basic,55,0,65.14,0,0
C00171,east,pro,41,0,54.29,0,0
C00172,east,pro,8,0,61.61,0,0
C00173,south,pro,18,4,77.87,0,1
C00174,south,pro,69,0,77.05,0,0
C00175,west,pro,66,0,47.64,2,0
C00176,north,basic,54,1,66.18,2,1
C00177,east,pro,51,0,56.66,0,0
C00178,west,basic,50,5,54.78,1,1
C00179,south,basic,6,1,47.9,1,1
C00180,south,basic,8,0,98.08,0,0
C00181,west,premium,12,2,55.85,2,1
C00182,east,premium,61,1,48.56,0,0
C00183,west,basic,14,2,54.88,1,1
C00184,east,basic,28,0,89.22,0,0
C00185,west,basic,35,5,64.06,2,1
C00186,east,pro,54,3,76.18,1,1
C00187,south,premium,49,0,80.66,0,0
C00188,south,pro,22,4,77.63,2,1
C00189,north,pro,20,0,62.5,0,0
C00190,north,basic,50,0,21.67,0,1
C00191,west,basic,31,1,66.51,0,0
C00192,east,basic,57,0,89.81,0,0
C00193,west,basic,31,3,80.57,0,1
C00194,west,basic,56,0,50.68,0,0
C00195,west,pro,15,7,79.48,1,1
C00196,north,basic,26,3,100.0,0,0
C00197,south,basic,48,2,58.41,0,1
C00198,south,premium,2,3,51.58,0,1
C00199,south,premium,10,3,32.73,0,1
C00200,west,basic,20,0,40.58,2,1
C00201,west,premium,31,0,57.86,0,0
C00202,east,basic,50,0,58.48,0,0
C00203,west,basic,51,3,81.28,0,0
C00204,east,basic,40,1,71.65,0,0
C00205,west,basic,2,0,73.08,1,1
C00206,west,basic,47,3,69.31,1,1
C00207,west,basic,58,2,48.99,0,1
C00208,west,pro,31,1,69.9,2,1
C00209,north,pro,17,0,81.11,1,0
C00210,south,pro,61,0,63.92,0,0
C00211,west,pro,46,0,41.41,1,0
C00212,south,basic,49,1,77.68,0,0
C00213,east,basic,60,0,61.36,1,0
C00214,south,pro,18,3,58.67,0,1
C00215,west,basic,30,3,68.82,1,1
C00216,west,premium,38,0,51.98,1,0
C00217,west,basic,9,1,51.24,1,1
C00218,west,premium,53,2,81.06,2,0
C00219,west,pro,72,7,66.76,3,1
C00220,east,pro,35,0,80.94,0,0
C00221,west,basic,44,0,47.76,0,0
C00222,north,premium,48,0,48.37,0,0
C00223,east,premium,66,2,31.55,1,1
C00224,east,basic,6,2,86.57,3,1
C00225,south,basic,50,1,25.86,0,1
C00226,north,pro,23,0,53.44,0,0
C00227,south,pro,51,0,84.72,0,0
C00228,east,pro,13,0,50.59,1,1
C00229,west,basic,58,1,44.97,0,0
C00230,south,premium,16,0,70.31,0,0
C00231,north,basic,31,0,74.69,0,0
C00232,east,pro,15,0,53.01,3,1
C00233,west,premium,50,0,78.51,0,0
C00234,east,pro,59,0,83.18,0,0
C00235,south,premium,8,0,40.14,3,1
C00236,east,pro,40,0,100.0,1,0
C00237,west,pro,2,0,34.49,1,1
C00238,west,basic,27,4,54.11,3,1
C00239,east,pro,67,0,48.06,1,0
C00240,south,premium,12,0,47.68,0,0
C00241,north,basic,66,2,64.6,0,0
C00242,north,premium,57,0,65.75,2,0
C00243,south,pro,19,1,58.57,0,0
C00244,north,pro,7,3,40.09,0,1
C00245,east,basic,35,2,94.86,0,0
C00246,south,premium,44,2,40.09,0,0
C00247,east,pro,8,0,70.7,0,0
C00248,south,basic,36,1,47.43,0,1
C00249,south,pro,48,0,87.41,0,0
C00250,west,basic,46,3,39.37,0,1
C00251,west,basic,64,0,71.38,0,0
C00252,east,pro,45,0,54.26,0,0
C00253,east,basic,34,1,57.41,0,1
C00254,east,basic,71,1,69.29,1,0
C00255,east,basic,22,0,89.09,0,0
C00256,north,basic,3,0,61.45,0,0
C00257,west,basic,65,8,24.08,0,1
C00258,east,premium,72,0,58.59,0,0
C00259,north,basic,28,0,69.88,0,0
C00260,south,basic,39,0,67.5,1,0
C00261,west,pro,52,0,77.42,0,0
C00262,west,basic,32,2,63.08,0,1
C00263,south,basic,11,0,67.3,1,1
C00264,east,pro,44,2,47.44,0,0
C00265,east,pro,18,0,48.95,2,1
C00266,east,basic,44,4,50.71,1,1
C00267,east,basic,21,0,65.96,0,0
C00268,north,pro,11,0,56.89,0,0
C00269,east,pro,71,3,55.3,1,1
C00270,east,basic,14,0,65.13,0,0
C00271,north,basic,33,5,41.35,2,1
C00272,north,basic,38,3,65.6,0,1
C00273,north,pro,55,2,65.53,1,1
C00274,north,basic,52,0,62.09,0,0
C00275,south,pro,49,2,50.79,1,1
C00276,north,basic,3,2,64.37,0,1
C00277,north,pro,11,0,68.11,1,1
C00278,east,basic,66,0,84.95,1,0
C00279,east,basic,7,0,66.56,1,1
C00280,east,pro,17,1,73.71,2,1
C00281,east,pro,61,0,70.02,3,1
C00282,west,pro,53,0,60.7,0,0
C00283,west,pro,22,0,22.54,2,1
C00284,north,basic,16,2,31.26,0,1
C00285,north,basic,44,1,50.81,0,0
C00286,east,basic,3,2,83.19,0,0
C00287,north,basic,47,0,60.31,2,1
C00288,east,basic,54,3,66.58,0,0
C00289,west,pro,30,0,71.09,0,0
C00290,north,pro,69,2,74.05,1,0
C00291,south,basic,43,3,58.19,1,1
C00292,west,basic,32,3,54.8,2,1
C00293,south,premium,44,1,77.58,0,0
C00294,east,pro,71,0,100.0,2,0
C00295,west,pro,66,1,63.53,0,0
C00296,west,pro,53,2,79.14,0,0
C00297,west,pro,53,1,59.36,0,0
C00298,south,basic,66,2,100.0,0,0
C00299,south,basic,28,0,90.5,0,0
C00300,north,pro,45,1,56.7,2,1
C00301,north,basic,68,5,100.0,0,0
C00302,west,pro,2,0,30.89,0,1
C00303,north,basic,37,1,100.0,0,0
C00304,south,pro,48,1,58.85,0,0
C00305,north,pro,35,2,42.89,0,0
C00306,east,basic,12,2,49.42,0,1
C00307,south,premium,35,0,80.45,0,0
C00308,south,basic,37,0,100.0,0,0
C00309,south,pro,35,1,68.27,0,0
C00310,north,basic,1,0,35.21,0,1
C00311,west,pro,31,5,65.78,0,1
C00312,west,basic,64,0,93.23,0,0
C00313,west,basic,17,3,80.03,0,1
C00314,south,pro,1,0,40.73,0,1
C00315,north,pro,44,1,45.52,0,0
C00316,north,pro,48,2,100.0,1,0
C00317,east,basic,19,2,74.21,1,1
C00318,west,basic,55,2,76.39,1,0
C00319,east,pro,53,0,51.38,2,0
C00320,east,basic,4,4,72.18,2,1
C00321,west,basic,53,1,81.49,0,0
C00322,east,basic,21,2,59.68,0,1
C00323,north,pro,52,2,38.75,1,1
C00324,west,pro,54,0,84.69,0,0
C00325,west,pro,30,3,31.07,1,1
C00326,south,premium,21,0,90.33,0,0
C00327,west,basic,20,0,37.71,0,1
C00328,north,pro,54,1,27.03,0,1
C00329,west,basic,15,1,37.81,0,1
C00330,north,basic,46,0,34.08,3,1
C00331,west,basic,9,0,32.95,1,1
C00332,west,premium,23,4,80.13,0,0
C00333,west,pro,26,3,43.59,2,1
C00334,north,premium,25,0,66.03,0,0
C00335,west,basic,1,0,100.0,1,0
C00336,west,basic,60,0,80.25,0,0
C00337,south,pro,7,2,69.39,1,1
C00338,west,premium,3,1,53.16,1,1
C00339,west,pro,10,3,77.0,0,1
C00340,south,premium,13,1,34.63,0,1
C00341,south,pro,70,0,62.13,0,0
C00342,east,basic,70,1,74.49,2,1
C00343,east,pro,39,1,77.61,0,0
C00344,south,basic,31,1,31.12,1,1
C00345,west,pro,58,1,11.24,3,1
C00346,north,pro,57,6,54.41,1,1
C00347,west,pro,72,0,50.62,0,0
C00348,south,pro,40,5,59.95,2,1
C00349,west,basic,53,3,55.25,0,1
C00350,west,basic,64,1,56.25,0,0
C00351,west,basic,67,6,57.93,1,1
C00352,south,basic,53,3,57.09,2,1
C00353,north,basic,52,0,36.81,0,0
C00354,east,basic,68,3,75.94,0,0
C00355,north,pro,9,0,87.4,0,0
C00356,east,premium,16,3,74.9,0,0
C00357,south,basic,30,1,44.42,0,1
C00358,west,basic,33,0,37.49,0,0
C00359,north,basic,54,0,84.07,0,0
C00360,north,premium,68,4,57.83,2,1
C00361,south,pro,21,0,28.93,1,1
C00362,north,premium,59,0,85.61,0,0
C00363,west,basic,17,0,65.21,0,0
C00364,north,basic,42,2,70.28,0,0
C00365,west,pro,50,1,69.92,1,0
C00366,south,basic,50,0,53.54,0,0
C00367,east,pro,16,1,67.23,0,0
C00368,east,basic,70,0,58.31,0,0
C00369,east,pro,5,7,53.92,0,1
C00370,east,pro,36,1,45.64,0,0
C00371,east,basic,19,2,88.89,0,0
C00372,south,pro,58,1,64.48,2,0
C00373,west,pro,53,1,39.84,0,0
C00374,east,pro,45,4,53.58,0,1
C00375,south,premium,65,3,60.74,0,0
C00376,east,pro,37,1,77.86,0,0
C00377,west,basic,13,0,40.54,0,1
C00378,north,basic,24,1,82.62,2,1
C00379,west,basic,59,2,65.31,1,1
C00380,south,pro,69,0,50.03,0,0
C00381,north,pro,26,4,47.0,1,1
C00382,south,basic,13,2,52.01,0,1
C00383,east,pro,25,0,42.07,0,0
C00384,east,pro,22,3,45.83,0,1
C00385,east,pro,50,2,67.69,0,0
C00386,north,pro,32,0,18.19,0,0
C00387,west,basic,11,1,50.58,0,1
C00388,west,basic,28,0,64.94,0,0
C00389,south,pro,45,0,59.07,0,0
C00390,west,pro,26,2,42.84,2,1
C00391,south,basic,4,0,68.05,0,0
C00392,east,basic,35,0,71.95,0,0
C00393,east,pro,52,0,84.51,0,0
C00394,west,basic,28,0,43.36,1,1
C00395,north,pro,26,1,16.12,0,1
C00396,north,pro,13,0,62.77,0,0
C00397,west,basic,57,2,89.26,0,0
C00398,south,pro,46,1,62.61,1,0
C00399,east,basic,63,3,78.83,0,0
C00400,south,basic,69,0,83.95,1,0
C00401,north,pro,44,0,67.13,0,0
C00402,west,basic,48,4,82.99,0,1
C00403,south,pro,22,3,36.9,1,1
C00404,west,basic,1,1,51.76,0,1
C00405,east,premium,58,0,76.65,0,0
C00406,north,basic,54,1,73.36,0,0
C00407,west,basic,9,0,70.96,0,0
C00408,south,basic,5,6,31.97,1,1
C00409,west,premium,30,0,92.21,3,0
C00410,south,basic,25,6,71.43,1,1
C00411,south,pro,59,1,63.04,1,0
C00412,west,premium,58,4,70.81,3,1
C00413,east,basic,5,4,67.31,2,1
C00414,south,premium,3,0,47.55,0,0
C00415,east,basic,6,0,45.56,1,1
C00416,west,basic,72,0,79.2,1,0
C00417,south,basic,68,1,43.66,0,0
C00418,south,premium,37,0,75.97,1,0
C00419,west,basic,11,0,27.34,0,1
C00420,east,pro,22,1,76.36,0,0
C00421,west,premium,41,0,64.03,0,0
C00422,south,basic,72,0,83.48,1,0
C00423,west,pro,44,0,77.1,0,0
C00424,south,basic,63,1,45.96,0,0
C00425,west,basic,6,2,31.85,2,1
C00426,south,basic,17,3,75.41,0,1
C00427,south,pro,64,1,66.79,0,0
C00428,east,basic,70,2,49.04,0,0
C00429,north,premium,40,5,92.33,1,1
C00430,west,pro,62,1,94.93,3,1
C00431,west,basic,63,0,66.4,0,0
C00432,north,basic,26,0,68.31,0,0
C00433,east,premium,32,0,40.61,1,0
C00434,east,premium,37,1,90.34,0,0
C00435,south,premium,55,7,56.41,0,1
C00436,west,basic,24,2,29.46,1,1
C00437,south,premium,39,1,44.87,0,0
C00438,west,premium,69,4,86.68,1,0
C00439,north,basic,30,0,54.13,1,1
C00440,north,basic,50,0,100.0,2,0
C00441,south,premium,28,1,73.28,2,1
C00442,west,pro,7,0,72.82,0,0
C00443,east,basic,30,0,65.07,0,0
C00444,south,premium,59,1,72.38,2,0
C00445,west,premium,53,2,61.44,0,0
C00446,north,basic,9,1,48.26,0,1
C00447,north,basic,51,0,61.13,1,0
C00448,north,pro,71,2,46.02,0,0
C00449,north,pro,43,1,36.33,0,0
C00450,east,basic,59,0,67.08,1,0
C00451,north,pro,48,0,59.21,2,1
C00452,north,pro,7,3,39.02,1,1
C00453,west,basic,15,1,46.85,1,1
C00454,south,premium,58,0,81.67,3,0
C00455,north,pro,23,1,93.81,0,0
C00456,north,pro,65,1,76.64,0,0
C00457,north,pro,71,0,72.18,0,0
C00458,south,basic,32,0,66.1,0,0
C00459,west,basic,47,5,87.94,0,0
C00460,east,pro,32,1,74.67,2,1
C00461,east,basic,62,0,100.0,1,0
C00462,west,basic,70,3,46.25,1,1
C00463,west,basic,20,4,72.94,0,1
C00464,east,pro,46,0,91.21,0,0
C00465,east,pro,70,0,42.95,0,0
C00466,east,pro,15,3,78.69,0,1
C00467,north,pro,6,7,76.67,0,1
C00468,east,basic,2,8,27.35,0,1
C00469,south,pro,25,6,55.91,0,1
C00470,east,pro,40,0,39.56,0,0
C00471,north,premium,22,4,51.76,1,1
C00472,south,pro,37,0,62.71,0,0
C00473,north,pro,72,0,48.8,1,0
C00474,east,basic,1,2,63.49,0,1
C00475,east,pro,72,0,48.22,0,0
C00476,south,pro,18,0,79.66,0,0
C00477,north,premium,57,0,40.72,0,0
C00478,south,pro,41,2,78.44,0,0
C00479,west,basic,58,0,67.1,0,0
C00480,east,basic,52,1,54.31,2,1
C00481,south,basic,52,1,100.0,1,0
C00482,south,pro,43,3,62.91,1,1
C00483,south,pro,70,2,35.49,1,1
C00484,south,basic,18,0,58.35,1,1
C00485,north,pro,43,3,45.25,1,1
C00486,west,basic,37,1,93.6,1,0
C00487,east,pro,29,1,66.13,1,0
C00488,west,premium,56,0,72.87,2,0
C00489,east,pro,2,3,37.22,0,1
C00490,north,basic,22,1,87.22,0,0
C00491,south,pro,54,3,94.84,0,0
C00492,east,premium,47,2,70.15,0,0
C00493,north,pro,13,1,71.81,2,1
C00494,west,basic,10,5,65.7,0,1
C00495,south,premium,41,1,100.0,1,0
C00496,east,pro,17,0,80.69,0,0
C00497,north,basic,14,0,79.32,1,0
C00498,south,premium,1,1,64.3,1,1
C00499,west,basic,61,0,75.86,0,0
C00500,east,pro,11,1,40.2,0,1
C00501,east,pro,67,0,60.82,0,0
C00502,east,pro,48,1,55.31,0,0
C00503,north,premium,41,7,41.31,0,1
C00504,north,pro,67,0,79.22,2,0
C00505,west,basic,57,2,63.82,2,1
C00506,west,pro,47,0,79.49,0,0
C00507,east,pro,8,0,82.37,0,0
C00508,west,basic,64,0,62.53,0,0
C00509,south,basic,51,0,78.81,0,0
C00510,west,premium,7,4,66.61,0,1
C00511,south,premium,57,2,74.74,2,1
C00512,north,basic,40,0,68.1,0,0
C00513,south,pro,1,1,46.93,0,1
C00514,west,pro,22,0,63.33,0,0
C00515,south,basic,19,0,56.89,2,1
C00516,south,pro,6,0,41.53,3,1
C00517,south,basic,23,2,66.23,1,1
C00518,east,pro,4,0,91.31,2,0
C00519,north,pro,31,1,79.92,0,0
C00520,east,pro,17,1,45.45,0,0
C00521,east,basic,72,1,26.68,1,1
C00522,west,pro,36,4,81.35,1,1
C00523,east,pro,17,2,61.96,0,0
C00524,north,premium,32,1,89.3,1,0
C00525,south,basic,12,0,49.63,0,1
C00526,north,pro,42,0,42.56,3,1
C00527,east,basic,11,1,92.93,0,0
C00528,west,basic,2,0,87.97,0,0
C00529,south,basic,27,0,83.58,1,0
C00530,north,basic,28,0,68.52,2,1
C00531,east,basic,4,0,100.0,1,0
C00532,south,pro,10,3,58.99,2,1
C00533,east,basic,7,4,74.55,3,1
C00534,north,basic,47,0,66.45,1,0
C00535,west,premium,25,0,33.84,1,1
C00536,south,premium,62,1,68.37,0,0
C00537,west,basic,25,1,73.03,0,0
C00538,north,pro,14,2,44.98,0,1
C00539,west,pro,27,1,87.23,3,1
C00540,north,basic,62,1,51.94,1,0
C00541,north,basic,56,0,64.33,3,1
C00542,north,basic,22,0,62.17,0,0
C00543,north,pro,9,1,43.19,0,1
C00544,north,pro,25,1,46.9,1,1
C00545,south,basic,71,0,82.72,1,0
C00546,west,pro,38,0,71.62,1,0
C00547,east,pro,3,1,72.39,1,1
C00548,north,basic,69,0,64.25,1,0
C00549,south,basic,62,0,50.21,1,1
C00550,north,basic,71,0,87.12,0,0
C00551,south,basic,4,4,21.82,3,1
C00552,south,basic,25,0,52.04,0,0
C00553,north,basic,17,0,100.0,1,0
C00554,north,premium,38,5,79.13,0,1
C00555,south,basic,64,3,48.57,1,1
C00556,south,premium,72,0,73.62,0,0
C00557,south,premium,26,0,55.52,0,0
C00558,north,pro,63,5,83.99,0,1
C00559,north,basic,28,1,57.05,0,0
C00560,south,pro,2,0,32.45,0,1
C00561,west,basic,36,1,68.51,0,0
C00562,east,basic,18,0,67.08,0,0
C00563,south,basic,52,2,60.39,0,0
C00564,south,basic,72,0,83.57,0,0
C00565,east,basic,35,1,48.75,0,0
C00566,north,pro,56,1,54.01,1,1
C00567,west,basic,39,0,55.21,1,1
C00568,west,pro,65,0,59.31,2,0
C00569,east,premium,3,0,70.14,0,0
C00570,north,pro,43,5,36.13,0,1
C00571,south,basic,13,0,69.81,2,1
C00572,east,basic,37,4,54.2,0,1
C00573,north,basic,52,0,52.74,0,0
C00574,east,basic,25,0,36.74,3,1
C00575,west,basic,11,5,80.04,0,1
C00576,south,premium,37,0,71.91,0,0
C00577,north,basic,1,1,75.56,0,0
C00578,west,pro,20,0,76.65,2,0
C00579,north,pro,25,0,61.5,0,0
C00580,east,pro,31,2,47.85,2,1
C00581,east,basic,56,0,40.19,0,0
C00582,east,premium,30,1,62.74,0,0
C00583,south,premium,7,5,62.59,0,1
C00584,west,basic,63,3,43.25,0,1
C00585,east,premium,18,0,32.42,0,0
C00586,east,premium,60,4,54.95,1,1
C00587,east,basic,40,2,67.26,0,0
C00588,west,pro,7,1,75.55,0,0
C00589,east,premium,50,0,60.84,0,0
C00590,north,basic,67,1,58.0,0,0
C00591,east,pro,71,0,59.3,0,0
C00592,south,pro,5,1,53.24,0,1
C00593,west,basic,47,0,66.54,1,0
C00594,east,basic,15,8,77.67,3,1
C00595,north,basic,60,3,52.1,1,1
C00596,east,basic,32,0,49.07,0,0
C00597,east,basic,48,6,43.39,0,1
C00598,north,pro,50,1,38.05,1,1
C00599,south,pro,50,5,73.49,1,1
C00600,west,pro,15,0,47.45,0,0
C00601,east,basic,3,0,58.84,2,1
C00602,east,pro,33,3,50.25,0,1
C00603,north,basic,70,1,43.45,0,0
C00604,south,premium,36,0,71.41,0,0
C00605,north,pro,48,1,44.86,0,0
C00606,east,pro,42,0,59.37,0,0
C00607,south,basic,13,1,50.61,0,1
C00608,south,basic,39,0,34.01,1,1
C00609,north,basic,67,1,58.94,1,0
C00610,east,basic,27,2,84.46,2,1
C00611,north,basic,12,2,86.69,0,1
C00612,south,basic,57,3,62.38,0,1
C00613,north,pro,45,0,81.81,0,0
C00614,east,basic,64,0,59.21,0,0
C00615,north,premium,65,0,92.38,0,0
C00616,north,pro,21,0,52.36,0,0
C00617,east,basic,62,1,46.55,0,0
C00618,west,pro,58,1,57.64,0,0
C00619,east,premium,19,0,80.88,0,0
C00620,west,basic,56,0,58.98,1,0
C00621,north,basic,67,0,74.53,0,0
C00622,east,basic,22,0,55.69,0,0
C00623,north,basic,54,0,49.21,0,0
C00624,west,basic,45,0,60.15,0,0
C00625,west,basic,59,1,83.85,1,0
C00626,east,pro,29,3,15.41,0,1
C00627,south,pro,68,0,72.65,1,0
C00628,south,pro,36,0,76.08,0,0
C00629,east,pro,12,0,57.79,3,1
C00630,east,pro,70,3,43.21,0,1
C00631,east,premium,65,1,82.81,0,0
C00632,north,basic,59,1,72.83,3,1
C00633,east,pro,63,1,30.36,0,0
C00634,east,basic,58,2,47.05,0,0
C00635,south,premium,5,1,100.0,2,1
C00636,north,pro,10,0,61.12,0,0
C00637,west,basic,12,1,56.9,0,0
C00638,west,pro,44,1,59.44,0,0
C00639,east,premium,50,1,60.6,0,0
C00640,south,pro,66,1,49.39,0,0
C00641,west,pro,70,0,85.97,0,0
C00642,north,pro,40,6,69.39,0,1
C00643,east,pro,70,1,100.0,0,0
C00644,west,pro,16,0,61.87,0,0
C00645,north,premium,18,0,17.95,0,0
C00646,north,pro,61,1,97.89,0,0
C00647,north,pro,60,0,19.21,0,0
C00648,south,pro,49,0,68.66,1,0
C00649,west,pro,8,2,100.0,0,0
C00650,south,pro,42,3,64.97,0,0
C00651,south,basic,9,1,69.49,0,0
C00652,south,pro,33,3,48.03,1,1
C00653,west,premium,7,0,69.28,0,0
C00654,east,pro,5,1,54.59,1,1
C00655,north,basic,17,0,43.16,0,0
C00656,west,pro,42,0,64.91,2,0
C00657,north,basic,36,2,53.01,0,1
C00658,north,premium,67,1,59.62,0,0
C00659,south,premium,23,3,66.29,2,1
C00660,east,basic,71,1,56.99,0,0
C00661,north,basic,25,1,70.95,0,0
C00662,south,basic,18,0,14.5,0,1
C00663,south,basic,61,0,62.52,0,0
